date,power
06/01/2018 0:10,12.1
06/01/2018 0:20,12.4
06/01/2018 0:30,12.3
06/01/2018 0:40,12.3
06/01/2018 0:50,12.4
06/01/2018 1:00,12.7
06/01/2018 1:10,12.3
06/01/2018 1:20,12.1
06/01/2018 1:30,12.1
06/01/2018 1:40,12.2
06/01/2018 1:50,12.1
06/01/2018 2:00,12.2
06/01/2018 2:10,12.2
06/01/2018 2:20,12.3
06/01/2018 2:30,12.7
06/01/2018 2:40,12.7
06/01/2018 2:50,12.3
06/01/2018 3:00,12.0
06/01/2018 3:10,12.3
06/01/2018 3:20,12.5
06/01/2018 3:30,12.5
06/01/2018 3:40,12.4
06/01/2018 3:50,12.5
06/01/2018 4:00,12.3
06/01/2018 4:10,12.2
06/01/2018 4:20,12.4
06/01/2018 4:30,12.5
06/01/2018 4:40,12.6
06/01/2018 4:50,13.1
06/01/2018 5:00,12.3
06/01/2018 5:10,12.2
06/01/2018 5:20,12.1
06/01/2018 5:30,12.4
06/01/2018 5:40,12.3
06/01/2018 5:50,12.3
06/01/2018 6:00,13.5
06/01/2018 6:10,12.7
06/01/2018 6:20,12.4
06/01/2018 6:30,12.4
06/01/2018 6:40,12.4
06/01/2018 6:50,12.3
06/01/2018 7:00,12.1
06/01/2018 7:10,12.1
06/01/2018 7:20,12.1
06/01/2018 7:30,12.3
06/01/2018 7:40,12.1
06/01/2018 7:50,11.9
06/01/2018 8:00,12.2
06/01/2018 8:10,12.3
06/01/2018 8:20,11.1
06/01/2018 8:30,10.4
06/01/2018 8:40,10.4
06/01/2018 8:50,10.3
06/01/2018 9:00,11.3
06/01/2018 9:10,11.4
06/01/2018 9:20,11.3
06/01/2018 9:30,11.4
06/01/2018 9:40,11.7
06/01/2018 9:50,12.1
06/01/2018 10:00,11.5
06/01/2018 10:10,11.6
06/01/2018 10:20,12.0
06/01/2018 10:30,11.8
06/01/2018 10:40,11.5
06/01/2018 10:50,11.6
06/01/2018 11:00,11.3
06/01/2018 11:10,11.3
06/01/2018 11:20,11.3
06/01/2018 11:30,11.5
06/01/2018 11:40,11.5
06/01/2018 11:50,11.4
06/01/2018 12:00,11.5
06/01/2018 12:10,11.5
06/01/2018 12:20,11.3
06/01/2018 12:30,11.5
06/01/2018 12:40,11.5
06/01/2018 12:50,11.3
06/01/2018 13:00,11.5
06/01/2018 13:10,11.6
06/01/2018 13:20,11.4
06/01/2018 13:30,11.3
06/01/2018 13:40,11.6
06/01/2018 13:50,11.3
06/01/2018 14:00,10.0
06/01/2018 14:10,10.3
06/01/2018 14:20,10.4
06/01/2018 14:30,10.2
06/01/2018 14:40,10.3
06/01/2018 14:50,11.2
06/01/2018 15:00,11.5
06/01/2018 15:10,10.7
06/01/2018 15:20,10.3
06/01/2018 15:30,10.4
06/01/2018 15:40,10.4
06/01/2018 15:50,10.5
06/01/2018 16:00,10.3
06/01/2018 16:10,10.2
06/01/2018 16:20,10.2
06/01/2018 16:30,10.4
06/01/2018 16:40,10.4
06/01/2018 16:50,10.2
06/01/2018 17:00,10.2
06/01/2018 17:10,10.4
06/01/2018 17:20,10.4
06/01/2018 17:30,10.3
06/01/2018 17:40,10.4
06/01/2018 17:50,12.0
06/01/2018 18:00,12.7
06/01/2018 18:10,12.3
06/01/2018 18:20,12.1
06/01/2018 18:30,11.9
06/01/2018 18:40,12.1
06/01/2018 18:50,12.3
06/01/2018 19:00,12.1
06/01/2018 19:10,12.1
06/01/2018 19:20,12.5
06/01/2018 19:30,12.3
06/01/2018 19:40,12.3
06/01/2018 19:50,13.4
06/01/2018 20:00,12.8
06/01/2018 20:10,12.1
06/01/2018 20:20,12.2
06/01/2018 20:30,12.3
06/01/2018 20:40,12.2
06/01/2018 20:50,12.0
06/01/2018 21:00,12.2
06/01/2018 21:10,12.0
06/01/2018 21:20,12.2
06/01/2018 21:30,12.3
06/01/2018 21:40,12.1
06/01/2018 21:50,12.0
06/01/2018 22:00,12.4
